No.,定数名,型名,定数の値,説明
1,LOGO_POS_X,_INT,960,ロゴを表示する座標X
2,LOGO_POS_Y,_INT,432,ロゴを表示する座標Y
3,CROWN_POS_X,_INT,1250,王冠を表示する座標X
4,CROWN_POS_Y,_INT,150,王冠を表示する座標Y
5,TEXT_POS_X,_INT,960,テキスト画像を表示する座標X
6,TEXT_POS_Y,_INT,945,テキスト画像を表示する座標Y
7,CAMERA_POS_X,_FLOAT,100.0f,カメラの座標X
8,CAMERA_POS_Y,_FLOAT,250.0f,カメラの座標Y
9,CAMERA_POS_Z,_FLOAT,0.0f,カメラの座標Z
10,CAMERA_TARGET_X,_FLOAT,150.0f,カメラのターゲット座標X
11,CAMERA_TARGET_Y,_FLOAT,250.0f,カメラのターゲット座標Y
12,CAMERA_TARGET_Z,_FLOAT,0.0f,カメラのターゲット座標Z
13,CAMERA_NEAR,_FLOAT,1,カメラのニア値
14,CAMERA_FAR,_FLOAT,1000,カメラのファー値
15,SLIDE_MOVE_SCALE,_INT,80,スライド画像の移動速度
16,SLIDE_OUT_START_X,_INT,-300,スライドが外れる初期位置X値
17,SLIDE_IN_START_X,_INT,2000,スライドインするときの初期座標X
18,MASSAGE_POS_X,_INT,30,メッセージを表示する座標X
19,MASSAGE_POS_Y,_INT,170,メッセージを表示する座標Y
20,GAME_END_POS_X,_INT,1300,ゲーム終了画像の表示座標X
21,GAME_END_POS_Y,_INT,950,ゲーム終了画像の表示座標Y
